Image no,Image name,Date,Tidal height,H1-Waterline,H1-Bar,H1-Breaker,H2-Waterline,H2-Bar,H2-Breaker,H3-Waterline,H3-Breaker,H4-Waterline,H4-Breaker
1,LT05_120035_19840507.tif,1984/5/7,1.015873324,,,,,,,173.2434,,176.8605,
2,LT05_120035_19840827.tif,1984/8/27,-0.845521835,197.0124,,,201.6174,,,195.9031,,293.6167,
3,LT05_120035_19841030.tif,1984/10/30,0.514031089,,,,,,,181.9035,,179.6472,
4,LT05_120035_19850323.tif,1985/3/23,-1.122145825,199.8378,,,204.6995,,,205,,300.4191,
5,LT05_120035_19850713.tif,1985/7/13,0.402093601,,,,,,,186.6996,,179.0843,
6,LT05_120035_19851102.tif,1985/11/2,-0.60939626,197.7101,,,202.7106,,,201.5284,,264.9532,
7,LT05_120035_19860121.tif,1986/1/21,-0.716213691,203.0336,,,208.8602,,,216.4253,,317.1013,
8,LT05_120035_19860206.tif,1986/2/6,-1.417591476,233.2828,291.9227,,,,,354.4698,,379.9923,
9,LT05_120035_19860310.tif,1986/3/10,-2.082542507,,,,,,,376.5269,,397.6502,
10,LT05_120035_19860326.tif,1986/3/26,-1.959069383,217.7033,,,,,,352.809,,382.0095,
11,LT05_120035_19860411.tif,1986/4/11,-0.722877651,196.6469,,,212.3678,,,205.1128,,291.956,
12,LT05_120035_19860427.tif,1986/4/27,-0.241208072,194.5697,,,197.3809,,,188.4546,,195.1566,
13,LT05_120035_19860902.tif,1986/9/2,-0.47210094,200.2304,,,203.0341,,,201.1737,,214.2218,
14,LT05_120035_19860918.tif,1986/9/18,-1.100432742,207.2975,,,209.703,,,318.6093,,313.1136,
15,LT05_120035_19861004.tif,1986/10/4,-1.393156226,207.2975,,,214.8466,,,307.8054,,338.5404,
16,LT05_120035_19861105.tif,1986/11/5,-1.085530567,202.7838,,,203.9308,,,,,304.0688,
17,LT05_120035_19861207.tif,1986/12/7,0.496929796,193.782,,,184.1495,,,179.7935,,183.6348,
18,LT05_120035_19870108.tif,1987/1/8,0.140795923,,,,195.142,,,,,191.3754,314.6603
19,LT05_120035_19870124.tif,1987/1/24,0.269329195,196.4303,,,191.7551,,,190.3432,,183.6817,
20,LT05_120035_19870225.tif,1987/2/25,-1.469373899,246.5949,312.1652,,,,,,,397.3688,
21,LT05_120035_19870313.tif,1987/3/13,-1.535132563,206.5309,,,,,,348.4621,,373.0681,
22,LT05_120035_19870617.tif,1987/6/17,1.618809297,,,,,,,167.6507,,182.2275,
23,LT05_120035_19871007.tif,1987/10/7,-1.561497444,201.7366,,,,,,291.8438,,356.8643,
24,LT05_120035_19871108.tif,1987/11/8,-1.301783905,203.5283,,,214.5133,,369.1996,280.5381,392.5487,314.5209,412.7964
25,LT05_120035_19871226.tif,1987/12/26,0.47036598,196.4524,,,182.1507,,,181.8706,,176.6072,
26,LT05_120035_19880111.tif,1988/1/11,0.294259442,189.4111,,,188.9924,,,185.9624,,177.3203,
27,LT05_120035_19880315.tif,1988/3/15,-1.254402411,222.3378,,,,,,319.212,,371.1727,
28,LT05_120035_19880331.tif,1988/3/31,-1.475181002,212.1215,,,,,,340.4048,,383.6701,429.6115
29,LT05_120035_19880603.tif,1988/6/3,0.253503389,195.2096,,,189.9102,,,187.6231,,179.7224,222.7881
30,LT05_120035_19880705.tif,1988/7/5,1.560430196,190.7746,,,,,,177.4887,,180.8201,217.4217
31,LT05_120035_19881009.tif,1988/10/9,-1.049930894,201.5261,,,200.6151,,,256.7938,,311.0213,
32,LT05_120035_19881025.tif,1988/10/25,-1.80155904,235.1572,288.716,,,,,377.3573,,392.743,
33,LT05_120035_19881110.tif,1988/11/10,-1.826837262,235.4053,318.0573,,,,,388,,398.3632,
34,LT05_120035_19881126.tif,1988/11/26,-1.394015099,212.9103,,,,,402.3761,350.3516,403.4986,376.9243,420.3106
35,LT05_120035_19881212.tif,1988/12/12,-1.248858915,201.7366,,,204.5918,,391.6643,,384.7887,305.2229,382.5807
36,LT05_120035_19890113.tif,1989/1/13,0.397306125,200.0876,,,190.138,,,175.2526,,175.9411,223.3204
37,LT04_120035_19890121.tif,1989/1/21,-2.204015873,229.2376,308.9694,,,,,379.8485,,393.4843,439.9771
38,LT05_120035_19890129.tif,1989/1/29,0.360320553,196.5779,,,189.5915,,,177.4897,,176.5792,
39,LT04_120035_19890206.tif,1989/2/6,-2.239191996,236.8938,290.4525,,,,,383.1109,,386.9167,
40,LT05_120035_19890214.tif,1989/2/14,0.211298451,195.3843,,,191.2085,,,181.8706,,174.1772,
41,LT04_120035_19890310.tif,1989/3/10,-1.158465703,204.1621,,,205.212,,,191.0137,,279.2335,
42,LT05_120035_19890403.tif,1989/4/3,-1.030270761,213.1896,,,,,,280.25,,369.437,
43,LT05_120035_19890505.tif,1989/5/5,-1.405332629,215.4465,,,,,,364.0885,,377.5904,
44,LT05_120035_19890521.tif,1989/5/21,-0.778152684,196.6469,,,208.4047,,,204.0876,,,
45,LT05_120035_19890606.tif,1989/6/6,0.144300256,,,,,,,180.8793,,179.6472,
46,LT05_120035_19890622.tif,1989/6/22,0.334808091,195.1406,,,192.3701,,,176.4983,,178.5213,
47,LT05_120035_19890809.tif,1989/8/9,1.143834012,193.782,,,184.339,,,175.0652,,176.3727,
48,LT05_120035_19891012.tif,1989/10/12,-0.647980163,199.295,,,213.0968,,,,363.9733,319.3249,
49,LT05_120035_19891028.tif,1989/10/28,-1.299452395,215.3419,,,231.2723,,,346.4792,,347.6884,
50,LT05_120035_19891113.tif,1989/11/13,-2.139263701,,,466.662,,,419.0275,388.4154,,410.401,
51,LT05_120035_19891129.tif,1989/11/29,-1.791583481,,,,,,,366.0713,,,
52,LT05_120035_19891215.tif,1989/12/15,-1.456309972,209.1496,,,208.6232,,,,,339.2065,
53,LT05_120035_19900116.tif,1990/1/16,-0.026732193,187.8358,,,187.291,,,179.9206,,178.7277,
54,LT05_120035_19900201.tif,1990/2/1,0.45744934,187.6193,,,188.6592,,,172.54,,176.9356,
55,LT05_120035_19900305.tif,1990/3/5,0.349105517,193.4277,,,190.2063,,,179.1241,,177.1421,
56,LT05_120035_19900508.tif,1990/5/8,-0.979572203,201.4658,,,215.0327,,,239.3052,,335.0406,
57,LT05_120035_19900524.tif,1990/5/24,-1.100557501,222.5876,,,217.6156,,,,,,
58,LT05_120035_19900609.tif,1990/6/9,-0.420804198,201.6553,,,202.0728,,,208.622,,199.8573,
59,LT05_120035_19900828.tif,1990/8/28,1.041220686,198.5392,,,185.6738,,,164.8035,,176.0162,
60,LT05_120035_19900913.tif,1990/9/13,0.826858778,199.6483,,,186.9037,,,167.6168,,177.067,
61,LT05_120035_19901015.tif,1990/10/15,-0.516485547,209.6148,,,207.6463,,,215.0789,,294.5643,
62,LT05_120035_19901031.tif,1990/10/31,-0.817506655,218.8192,,,212.8006,,405.7822,243.6861,413.0454,314.5961,398.6737
63,LT05_120035_19901116.tif,1990/11/16,-1.672876288,220.5202,,446.888,231.9784,308.5586,407.2643,349.929,,368.9773,
64,LT05_120035_19901218.tif,1990/12/18,-1.783745921,211.8717,,,238.6746,325.5213,,353.0039,,371.2759,412.8545
65,LT05_120035_19910204.tif,1991/2/4,0.209937538,202.9733,,,190.9807,,,191.107,,176.9356,
66,LT05_120035_19910220.tif,1991/2/20,0.414376675,206.6687,,,191.9146,,,186.0905,,173.7175,
67,LT05_120035_19910628.tif,1991/6/28,-0.347965401,211.8114,,,193.8607,,,188.963,,184.3479,
68,LT05_120035_19910714.tif,1991/7/14,0.110473921,206.6687,,,186.1481,,,182.3187,,183.3252,
69,LT05_120035_19910831.tif,1991/8/31,0.85347162,197.6412,,,187.4292,,,177.1413,,178.9811,
70,LT05_120035_19911018.tif,1991/10/18,0.12525642,204.8512,,,194.1171,,,184.8777,,177.1421,220.4384
71,LT05_120035_19911103.tif,1991/11/3,-0.717947951,205.9128,,,198.883,,,201.5963,,,
72,LT05_120035_19911119.tif,1991/11/19,-1.085638393,209.9294,,,210.1317,,,237.906,369.0276,300.5692,
73,LT05_120035_19911205.tif,1991/12/5,-1.975297437,,,,,,,,,,
74,LT05_120035_19920207.tif,1992/2/7,-0.688624315,210.4331,,,196.0825,,,198.1062,,257.8413,354.4637
75,LT05_120035_19920326.tif,1992/3/26,0.606451908,201.1974,,,192.8484,,,181.4882,,178.878,
76,LT05_120035_19920411.tif,1992/4/11,0.716525425,204.2223,,,191.8462,,,184.3619,,,
77,LT05_120035_19920427.tif,1992/4/27,0.050741842,,,,,,,187.691,,194.1619,
78,LT05_120035_19920529.tif,1992/5/29,-0.453367612,214.5076,,,200.2278,,,201.1737,344.6595,282.2732,351.4744
79,LT05_120035_19920630.tif,1992/6/30,-0.675588393,203.2231,,,204.0846,,,213.7994,349.9381,308.1316,
80,LT05_120035_19920801.tif,1992/8/1,-0.131130917,206.1393,,,188.908,,,181.8366,,178.6995,333.7636
81,LT05_120035_19920918.tif,1992/9/18,0.595528332,196.7574,,,183.0545,,,177.1751,,179.2625,
82,LT05_120035_19921020.tif,1992/10/20,0.664395184,196.6097,,,182.7402,,,171.8029,,177.2453,
83,LT05_120035_19921121.tif,1992/11/21,-0.751595205,219.8923,,,213.6433,,,305.7439,,323.5658,
84,LT05_120035_19921223.tif,1992/12/23,-2.128254833,,,,,,,392.7963,,395.9613,449.6427
85,LT05_120035_19930124.tif,1993/1/24,-1.661221201,,,,214.5544,,,,,323.4626,
86,LT05_120035_19930209.tif,1993/2/9,-1.447272736,,,,,,,,,310.2801,
87,LT05_120035_19930225.tif,1993/2/25,-0.473345669,213.3653,,,197.9605,,,194.0208,,,
88,LT05_120035_19930329.tif,1993/3/29,0.539209762,194.8847,,,183.7377,,,173.8196,,174.4117,212.7713
89,LT05_120035_19930414.tif,1993/4/14,0.804692435,195.8236,,,184.5851,,,174.0144,,176.0443,
90,LT05_120035_19930921.tif,1993/9/21,0.727560429,197.5808,,,190.138,,,176.3712,,174.9466,
91,LT05_120035_19931007.tif,1993/10/7,0.378238634,198.0806,,,192.2106,,,174.5494,,173.1076,212.453
92,LT05_120035_19931124.tif,1993/11/24,-0.36841263,206.4936,,,210.6369,,,201.6568,,310.6649,
93,LT05_120035_19931210.tif,1993/12/10,-0.832430284,226.9114,,,,,,,,,
94,LT05_120035_19931226.tif,1993/12/26,-1.456975251,,,,,,,359.6143,,375.1884,
95,LT05_120035_19940111.tif,1994/1/11,-2.296376042,232.4282,,,,,,392.5347,,400.4368,
96,LT05_120035_19940212.tif,1994/2/12,-1.539129262,217.5251,,,211.3839,,,323.1437,,344.3199,
97,LT05_120035_19940228.tif,1994/2/28,-1.318353599,210.3654,,,207.3251,,,215.4942,,306.7523,
98,LT05_120035_19940316.tif,1994/3/16,-0.132868212,203.2231,,,,,,191.7763,,184.9859,
99,LT05_120035_19940519.tif,1994/5/19,0.950101016,198.9034,,,195.9232,,,180.142,,188.2604,
100,LT05_120035_19940706.tif,1994/7/6,-0.288191841,210.5793,,,204.0846,,,198.6559,,223.3416,
101,LT05_120035_19940807.tif,1994/8/7,-0.657976307,203.9122,,,209.4068,,,,,309.5389,
102,LT05_120035_19940908.tif,1994/9/8,-0.584219003,198.7697,,,191.7461,,,186.2844,,,
103,LT05_120035_19940924.tif,1994/9/24,0.114817547,200.3309,,,188.1564,,,182.2519,,178.6995,217.7216
104,LT05_120035_19941010.tif,1994/10/10,0.576853249,196.7574,,,187.3821,,226.7485,180.4037,,178.7747,
105,LT05_120035_19941026.tif,1994/10/26,0.434551639,199.0413,,,188.7486,,,168.4811,,178.878,
106,LT05_120035_19941213.tif,1994/12/13,-0.69199427,223.3369,,,208.0563,,,263.666,,,
107,LT05_120035_19941229.tif,1994/12/29,-0.878535972,217.7461,,,212.4134,,,,,,
108,LT05_120035_19950114.tif,1995/1/14,-1.631451735,,,,,,,379.4598,,397.7253,
109,LT05_120035_19950130.tif,1995/1/30,-2.345269352,,,,,,,396.7546,,408.0742,441.7946
110,LT05_120035_19950215.tif,1995/2/15,-1.884626492,222.186,,,,,,,,373.2181,
111,LT05_120035_19950319.tif,1995/3/19,-0.864452554,211.0814,,,,,,210.8326,,258.6857,
112,LT05_120035_19950404.tif,1995/4/4,0.335603423,201.974,,,190.2974,,,188.8095,,174.4305,
113,LT05_120035_19950420.tif,1995/4/20,1.099990562,196.6097,,,187.1315,,,174.3883,,177.1421,
114,LT05_120035_19950506.tif,1995/5/6,0.954450146,202.4868,,,189.1358,,,,,186.5715,
115,LT05_120035_19950522.tif,1995/5/22,1.013206906,198.9723,,,185.8332,,,174.6426,,180.8201,
116,LT05_120035_19950810.tif,1995/8/10,-0.886065699,219.452,,,,,,276.0036,,340.3793,
117,LT05_120035_19950826.tif,1995/8/26,-0.653913389,212.873,,,202.6196,,,199.2321,,229.1963,
118,LT05_120035_19950911.tif,1995/9/11,-0.505964255,200.2168,,,206.1726,,,207,,,
119,LT05_120035_19950927.tif,1995/9/27,-0.476377897,202.534,,,203.9405,,,191.7498,,211.1819,
120,LT05_120035_19960202.tif,1996/2/2,-1.692915147,,,,227.1042,,,392.2974,,403.1671,
121,LT05_120035_19960218.tif,1996/2/18,-2.315459621,,,,,,,407.5245,,427.1113,
122,LT05_120035_19960305.tif,1996/3/5,-1.570765004,220.0206,,,,,,336.8277,,362.9724,
123,LT05_120035_19960406.tif,1996/4/6,-0.518907526,,,,212.3905,,,184.6161,,222.957,
124,LT05_120035_19960422.tif,1996/4/22,0.568534017,196.1765,,,192.9127,,,172.7547,,178.4462,
125,LT05_120035_19960508.tif,1996/5/8,1.172818249,197.1415,,,191.2085,,,163.4946,,174.8669,
126,LT05_120035_19960524.tif,1996/5/24,1.026295237,194.1956,,,192.1422,,,166.8705,,176.5041,
127,LT05_120035_19960812.tif,1996/8/12,-0.524907831,204.8512,,,213.6166,,,,,,
128,LT05_120035_19960929.tif,1996/9/29,-0.907511003,,,,,,,,,,
129,LT05_120035_19961015.tif,1996/10/15,-0.891757952,209.9394,,,209.5662,,,204.2147,,274.0448,
130,LT05_120035_19961202.tif,1996/12/2,0.273556651,199.3985,,,191.6059,,,172.54,,176.1194,
131,LT05_120035_19970119.tif,1997/1/19,-0.895658787,229.8452,,,223.7105,,,276.9951,,341.2237,
132,LT05_120035_19970204.tif,1997/2/4,-0.851555465,,,,,,,,,339.6663,
133,LT05_120035_19970220.tif,1997/2/20,-1.751193685,245.1816,323.4203,453.6952,,,432.0206,371.3156,,387.5264,
134,LT05_120035_19970324.tif,1997/3/24,-1.534493728,224.9133,,,248.2031,,,353.2242,,366.0875,
135,LT05_120035_19970409.tif,1997/4/9,-1.097188414,215.7378,,,219.1001,,,262.1661,,310.8149,
136,LT05_120035_19970425.tif,1997/4/25,-0.529076245,202.7724,,,201.4197,,,188.4875,,215.9577,
137,LT05_120035_19970527.tif,1997/5/27,1.000386371,,,,,,,,,,
138,LT05_120035_19970612.tif,1997/6/12,1.175584167,188.4484,,,184.5122,,,166.4095,,177.6019,
139,LT05_120035_19970628.tif,1997/6/28,1.382957998,194.6349,,,182.1207,,,161.2982,,179.3657,
140,LT05_120035_19970730.tif,1997/7/30,0.22385653,209.644,,,191.3679,,,182.3671,,176.6072,
141,LT05_120035_19970815.tif,1997/8/15,0.220915524,201.7683,,,194.9894,,,182.3671,,176.6824,
142,LT05_120035_19970831.tif,1997/8/31,-0.649996273,,,,231.3635,,,,,,
143,LT05_120035_19970916.tif,1997/9/16,-1.259199453,225.4053,,420.6923,231.5912,,382.5397,315.7971,373.7728,343.4005,
144,LT05_120035_19971002.tif,1997/10/2,-1.218404674,219.9602,,,227.6736,,,300.4767,,335.96,
145,LT05_120035_19971018.tif,1997/10/18,-1.396236868,227.8369,,,225.6465,,,327.5585,,336.9827,
146,LT05_120035_19971103.tif,1997/11/3,-1.194151965,214.517,,,,,,,,,
147,LT05_120035_19971119.tif,1997/11/19,-0.157197136,203.4127,,,200.0001,,,187.1413,,,
148,LT05_120035_19980106.tif,1998/1/6,0.582250392,190.8111,,,179.9986,,,175.8729,,175.6597,
149,LT05_120035_19980122.tif,1998/1/22,0.080276128,201.0265,,,,,,,,192.0134,
150,LT05_120035_19980514.tif,1998/5/14,-0.321423289,198.4702,,,196.766,,,186.9209,,176.9356,
151,LT05_120035_19980530.tif,1998/5/30,0.863085226,190.7324,,,179.6397,,,168.3541,,176.8605,
152,LT05_120035_19980615.tif,1998/6/15,0.980760215,191.5596,,,182.7658,,,161.0948,,175.5564,
153,LT05_120035_19980818.tif,1998/8/18,0.279145917,200.4785,,,195.6726,,,185.8352,,175.8379,
154,LT05_120035_19980903.tif,1998/9/3,0.008064692,,,,200.0001,,,189.5393,,188.3073,
155,LT05_120035_19980919.tif,1998/9/19,-0.888942553,211.4881,,,217.5112,,,,,311.4529,
156,LT05_120035_19981021.tif,1998/10/21,-1.333399955,215.6963,,,214.9507,,,326.5067,,343.0909,
157,LT05_120035_19981106.tif,1998/11/6,-1.764274272,,,,230.885,,,,,349.9401,
158,LT05_120035_19981122.tif,1998/11/22,-1.189477119,220.7487,,,,,,218.1199,,286.5894,
159,LT05_120035_19981208.tif,1998/12/8,-0.210342989,206.2771,,,210.8236,,,208.8762,,212.2797,
160,LT05_120035_19981224.tif,1998/12/24,-0.151893664,203.9725,,,198.268,,,186.599,,174.637,
161,LT05_120035_19990109.tif,1999/1/9,0.34194092,206.1691,,,194.0402,,,182.413,,173.8632,
162,LT05_120035_19990330.tif,1999/3/30,-1.684727679,232.2867,,,245.7399,299.4195,,367.2567,,,
163,LT05_120035_19990415.tif,1999/4/15,-1.723374709,227.9845,,420.2287,228.8123,294.329,413.4456,346.7599,401.8286,382.1127,420.5751
164,LT05_120035_19990501.tif,1999/5/1,-1.032189869,,,,,,,,,330.4151,
165,LT05_120035_19990602.tif,1999/6/2,-0.021792454,207.0745,,,191.6868,,,188.0722,,175.4814,
166,LT05_120035_19990618.tif,1999/6/18,1.11585717,193.7449,,,189.0675,,,166.2062,,177.3203,
167,LT05_120035_19990805.tif,1999/8/5,1.409925174,,,,189.9102,,,159.0477,,177.0389,
168,LT05_120035_19990922.tif,1999/9/22,-0.215561042,201.1185,,,195.8549,,,185.615,,174.4587,
169,LT05_120035_19991008.tif,1999/10/8,-1.229508509,228.7032,,,218.5631,,,321.6101,,341.7867,
170,LT05_120035_19991024.tif,1999/10/24,-1.559725693,,,,,,,,,357.0707,
171,LT05_120035_19991109.tif,1999/11/9,-1.596696098,228.5599,,,225.8058,,,332.1936,,353.543,
172,LT05_120035_19991211.tif,1999/12/11,-1.164829848,216.0234,,,207.2294,,,,,320.7793,
173,LE07_120035_19991219.tif,1999/12/19,-0.362629475,209.004,,,197.7681,,,195.1055,,285.0599,
174,LT05_120035_19991227.tif,1999/12/27,-0.06799044,207.2975,,,194.1466,,,187.7842,,,
175,LE07_120035_20000120.tif,2000/1/20,-2.102246598,,,,,,,401,,397.9317,
176,LT05_120035_20000128.tif,2000/1/28,0.428475991,195.2512,,,187.7464,,,171.5826,,177.2453,
177,LE07_120035_20000221.tif,2000/2/21,-2.075318385,224.1255,,,,,,362.382,,374.7005,
178,LT05_120035_20000229.tif,2000/2/29,-0.163144188,205.4197,,,203.649,,,193.2835,,187.1064,
179,LE07_120035_20000308.tif,2000/3/8,-1.393776502,219.6068,,,212.7778,,,313.594,,349.3772,
180,LT05_120035_20000316.tif,2000/3/16,-0.573987646,215.0072,,,206.0815,,,210.9257,,307.4936,
181,LT05_120035_20000503.tif,2000/5/3,-1.431159814,239.0146,,,,,,368.039,,381.4747,
182,LE07_120035_20000511.tif,2000/5/11,1.225783384,203.0336,,,183.8972,,,159.3051,,181.0546,212.4467
183,LT05_120035_20000519.tif,2000/5/19,-0.839658056,216.0922,,,202.3006,,,200.5636,,,
184,LE07_120035_20000527.tif,2000/5/27,0.830610623,203.2231,,,188.6575,,,160.6338,,179.6191,
185,LT05_120035_20000604.tif,2000/6/4,-0.519398737,213.1896,,,195.7637,,,199.9619,,241.6938,
186,LE07_120035_20000612.tif,2000/6/12,0.336060827,199.2578,,,191.2085,,,182.1915,,177.8083,210.6846
187,LE07_120035_20000730.tif,2000/7/30,-0.614393342,208.1761,,,193.4635,,,,,,
188,LT05_120035_20000908.tif,2000/9/8,0.48817735,188.9407,,,192.3018,,,168.6083,,179.9007,217.7216
189,LE07_120035_20000916.tif,2000/9/16,-0.696840363,204.7909,,,200.0686,,,183.5654,,291.9842,
190,LE07_120035_20001002.tif,2000/10/2,-0.184384245,201.9848,,,196.6749,,,182.3526,,180.4636,
191,LE07_120035_20001018.tif,2000/10/18,-0.114984239,195.0344,,,201.6174,,,192.8016,,177.4517,215.8976
192,LT05_120035_20001026.tif,2000/10/26,-1.389156732,235.1572,301.2598,,226.1931,,,365.4952,,369.437,
193,LE07_120035_20001103.tif,2000/11/3,0.16799977,210.8035,,,194.83,,,178.675,,178.9811,221.4765
194,LT05_120035_20001127.tif,2000/11/27,-1.714225629,233.872,317.7471,,239.9045,295.101,,354.6574,,384.0266,
195,LE07_120035_20001205.tif,2000/12/5,0.156182522,194.3158,,,198.1553,,,174.133,,175.5564,
196,LT05_120035_20001213.tif,2000/12/13,-1.937297957,225.6985,,,227.3546,290.2086,,355.9368,,374.1657,
197,LE07_120035_20001221.tif,2000/12/21,-0.407856455,203.56,,,209.3385,,,194.436,,203.7229,
198,LT05_120035_20001229.tif,2000/12/29,-1.06392754,208.7186,,,208.6969,,,200.4099,,288.0718,
199,LT05_120035_20010114.tif,2001/1/14,-0.12937828,202.0538,,,199.3851,,,192.1989,,204.4359,
200,LT05_120035_20010130.tif,2001/1/30,-0.006868173,199.691,,,197.677,,,187.691,,177.3203,210.4538
201,LE07_120035_20010207.tif,2001/2/7,-2.087364252,,,,,,,385.3178,,395.7832,
202,LT05_120035_20010319.tif,2001/3/19,-0.138798227,208.1378,,,202.5216,,,192.9616,,201.9026,
203,LT05_120035_20010404.tif,2001/4/4,-0.320836008,210.5793,,,208.0859,,,204.5027,,256.1805,
204,LE07_120035_20010412.tif,2001/4/12,0.161341505,203.1958,,,188.908,,,184.5896,,176.8605,
205,LT05_120035_20010420.tif,2001/4/20,-0.841389462,221.8035,,,220.9546,,,332.9562,,348.8142,
206,LE07_120035_20010514.tif,2001/5/14,0.955777338,201.5517,,,199.7726,,,173.2095,,180.182,
207,LT05_120035_20010522.tif,2001/5/22,-1.157164467,211.1222,,415.4048,208.5414,,370.7006,322.059,,336.3166,
208,LT05_120035_20010607.tif,2001/6/7,-0.572539782,209.7129,,,206.1635,,,210.9861,,246.4696,324.9939
209,LT05_120035_20010623.tif,2001/6/23,-0.362808676,200.1479,,,196.1509,,,196.6657,,214.0435,
210,LE07_120035_20010701.tif,2001/7/1,0.489015227,200.2619,,,184.9677,,,175.6414,,177.9584,
211,LE07_120035_20010717.tif,2001/7/17,0.489563409,203.8455,,,189.0446,,,186.7928,,184.7326,
212,LE07_120035_20010802.tif,2001/8/2,-0.392375283,211.7791,,,209.6449,,,195.454,343.5658,,
213,LE07_120035_20010818.tif,2001/8/18,-0.627905271,,,,,,,,,,
